batch	compound	rt_mean	rt_shift	rt_stdev	sample
2	PGE2	4.78757657657658	0.032423423423424	0.0342524185077225	pr01_example_aac_188
2	PGE3	4.01711009174312	0.0358899082568804	0.0427536741868227	pr01_example_aac_188
2	PGE1	5.07690265486726	0.0010973451327434	0.0476673676566823	pr01_example_aac_024
2	PGE2	4.78757657657658	0.0174234234234234	0.0342524185077225	pr01_example_aac_024
2	PGE3	4.01711009174312	0.0178899082568806	0.0427536741868227	pr01_example_aac_024
2	PGE1	5.07690265486726	0.0140973451327433	0.0476673676566823	pr01_example_aac_009
2	PGE2	4.78757657657658	0.0254234234234234	0.0342524185077225	pr01_example_aac_009
2	PGE3	4.01711009174312	0.0308899082568805	0.0427536741868227	pr01_example_aac_009
2	PGE1	5.07690265486726	-0.00390265486725649	0.0476673676566823	pr01_example_aac_0002
2	PGE2	4.78757657657658	0.024423423423424	0.0342524185077225	pr01_example_aac_0002
2	PGE3	4.01711009174312	0.0258899082568806	0.0427536741868227	pr01_example_aac_0002
2	PGE1	5.07690265486726	0.0600973451327436	0.0476673676566823	pr01_example_aac_089
2	PGE2	4.78757657657658	0.0274234234234241	0.0342524185077225	pr01_example_aac_089
2	PGE3	4.01711009174312	0.0288899082568808	0.0427536741868227	pr01_example_aac_089
2	PGE1	5.07690265486726	-0.0579026548672568	0.0476673676566823	pr01_example_aac_186
2	PGE2	4.78757657657658	0.0274234234234241	0.0342524185077225	pr01_example_aac_186
2	PGE3	4.01711009174312	0.0228899082568805	0.0427536741868227	pr01_example_aac_186
2	PGE1	5.07690265486726	-0.00590265486725627	0.0476673676566823	pr01_example_aac_055
2	PGE2	4.78757657657658	0.0274234234234241	0.0342524185077225	pr01_example_aac_055
2	PGE3	4.01711009174312	0.0228899082568805	0.0427536741868227	pr01_example_aac_055
2	PGE1	5.07690265486726	0.00809734513274307	0.0476673676566823	pr01_example_aac_051
2	PGE2	4.78757657657658	0.0254234234234234	0.0342524185077225	pr01_example_aac_051
2	PGE3	4.01711009174312	0.0288899082568808	0.0427536741868227	pr01_example_aac_051
2	PGE1	5.07690265486726	0.053097345132743	0.0476673676566823	pr01_example_aac_067
2	PGE2	4.78757657657658	0.0194234234234232	0.0342524185077225	pr01_example_aac_067
2	PGE3	4.01711009174312	0.0148899082568805	0.0427536741868227	pr01_example_aac_067
2	PGE1	5.07690265486726	0.0680973451327427	0.0476673676566823	pr01_example_aac_008
2	PGE2	4.78757657657658	0.0194234234234232	0.0342524185077225	pr01_example_aac_008
2	PGE3	4.01711009174312	0.0228899082568805	0.0427536741868227	pr01_example_aac_008
2	PGE1	5.07690265486726	-0.00490265486725683	0.0476673676566823	pr01_example_aac_127
2	PGE2	4.78757657657658	0.0194234234234232	0.0342524185077225	pr01_example_aac_127
2	PGE3	4.01711009174312	0.0198899082568804	0.0427536741868227	pr01_example_aac_127
2	PGE1	5.07690265486726	0.00409734513274351	0.0476673676566823	pr01_example_aac_114
2	PGE2	4.78757657657658	0.0274234234234241	0.0342524185077225	pr01_example_aac_114
2	PGE3	4.01711009174312	0.0248899082568803	0.0427536741868227	pr01_example_aac_114
2	PGE1	5.07690265486726	0.00409734513274351	0.0476673676566823	pr01_example_aac_039
2	PGE2	4.78757657657658	0.0224234234234233	0.0342524185077225	pr01_example_aac_039
2	PGE3	4.01711009174312	0.0228899082568805	0.0427536741868227	pr01_example_aac_039
2	PGE1	5.07690265486726	-0.0619026548672572	0.0476673676566823	pr01_example_aac_191
2	PGE2	4.78757657657658	0.0284234234234235	0.0342524185077225	pr01_example_aac_191
2	PGE3	4.01711009174312	0.0248899082568803	0.0427536741868227	pr01_example_aac_191
2	PGE1	5.07690265486726	0.0160973451327431	0.0476673676566823	pr01_example_aac_0002
2	PGE2	4.78757657657658	0.0284234234234235	0.0342524185077225	pr01_example_aac_0002
2	PGE3	4.01711009174312	0.0338899082568807	0.0427536741868227	pr01_example_aac_0002
2	PGE1	5.07690265486726	0.0120973451327426	0.0476673676566823	pr01_example_aac_112
2	PGE2	4.78757657657658	0.0314234234234236	0.0342524185077225	pr01_example_aac_112
2	PGE3	4.01711009174312	0.0328899082568803	0.0427536741868227	pr01_example_aac_112
2	PGE1	5.07690265486726	-0.0549026548672567	0.0476673676566823	pr01_example_aac_152
2	PGE2	4.78757657657658	0.0154234234234236	0.0342524185077225	pr01_example_aac_152
2	PGE3	4.01711009174312	0.0168899082568803	0.0427536741868227	pr01_example_aac_152
2	PGE1	5.07690265486726	0.0550973451327437	0.0476673676566823	pr01_example_aac_050
2	PGE2	4.78757657657658	0.0254234234234234	0.0342524185077225	pr01_example_aac_050
2	PGE3	4.01711009174312	0.0278899082568804	0.0427536741868227	pr01_example_aac_050
2	PGE1	5.07690265486726	0.0560973451327422	0.0476673676566823	pr01_example_aac_064
2	PGE2	4.78757657657658	0.0294234234234239	0.0342524185077225	pr01_example_aac_064
2	PGE3	4.01711009174312	0.0268899082568801	0.0427536741868227	pr01_example_aac_064
2	PGE1	5.07690265486726	0.0600973451327436	0.0476673676566823	pr01_example_aac_201
2	PGE2	4.78757657657658	0.0294234234234239	0.0342524185077225	pr01_example_aac_201
